region,ingested_at_utc
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
02 - Auckland,2026-02-23T06:33:29.965440
